Product Name,Color,Product URL,Unique Color ID, Swatch Image URL,Scraped Image URL
SHORT DRESS WITH SHELL PENDANTS,Black,https://us.sandro-paris.com/en/p/short-dress-with-shell-pendants/SFPRO03760_20.html,B12A3K,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw65671594/images/swatch/Sandro_SFPRO03760-20_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd936b2d3/images/hi-res/Sandro_SFPRO03760-20_F_1.jpg?sw=650&sh=650
VEST TOP WITH JEWELRY NECK,white,https://us.sandro-paris.com/en/p/vest-top-with-jewelry-neck/SFPPU02208_10.html,W8I20E,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw256ee91e/images/swatch/Sandro_SFPPU02208-10_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3b1d14bb/images/hi-res/Sandro_SFPPU02208-10_V_1.jpg?sw=650&sh=650
FLORAL JACQUARD TROUSERS,Ecru / Black,https://us.sandro-paris.com/en/p/floral-jacquard-trousers/SFPPA01444_A265.html,E3R21B12A3K,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc8e3537b/images/swatch/Sandro_SFPPA01444-A265_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe096b272/images/hi-res/Sandro_SFPPA01444-A265_V_1.jpg?sw=650&sh=650
DUAL-MATERIAL COATIGAN,Ecru,https://us.sandro-paris.com/en/p/dual-material-coatigan-/SFPCA00941_11.html,E3R21,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9e337413/images/swatch/Sandro_SFPCA00941-11_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd7f83585/images/hi-res/Sandro_SFPCA00941-11_V_1.jpg?sw=650&sh=650
STRAIGHT-LEG SHORTS,Yellow orange,https://us.sandro-paris.com/en/p/straight-leg-shorts/SFPSH00371_E120.html,Y5L12O23O18A14,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwacdec63c/images/swatch/Sandro_SFPSH00371-E120_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2ac50728/images/hi-res/Sandro_SFPSH00371-E120_V_1.jpg?sw=650&sh=650
STRIPY CROPPED JACKET,Beige,https://us.sandro-paris.com/en/p/stripy-cropped-jacket/SFPVE00988_16.html,B5I7E,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcc8846d5/images/swatch/Sandro_SFPVE00988-16_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9cfc52dc/images/hi-res/Sandro_SFPVE00988-16_V_1.jpg?sw=650&sh=650
WIDE-LEG STRIPED FLOATY TROUSERS,Beige,https://us.sandro-paris.com/en/p/wide-leg-striped-floaty-trousers/SFPPA01383_16.html,B5I7E,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5c133480/images/swatch/Sandro_SFPPA01383-16_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwf79f091e/images/hi-res/Sandro_SFPPA01383-16_V_1.jpg?sw=650&sh=650
RHINESTONE ROSE T-SHIRT,white,https://us.sandro-paris.com/en/p/rhinestone-rose-t-shirt/SFPTS01408_10.html,W8I20E,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6117d3eb/images/swatch/Sandro_SFPTS01408-10_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8bbcd6ac/images/hi-res/Sandro_SFPTS01408-10_V_1.jpg?sw=650&sh=650
SUIT JACKET,Yellow orange,https://us.sandro-paris.com/en/p/suit-jacket/SFPVE01003_E120.html,Y5L12O23O18A14,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwaa0a3612/images/swatch/Sandro_SFPVE01003-E120_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwfd4c5892/images/hi-res/Sandro_SFPVE01003-E120_V_1.jpg?sw=650&sh=650
2-IN-1 SHORT DRESS,Yellow orange,https://us.sandro-paris.com/en/p/2-in-1-short-dress/SFPRO03659_E120.html,Y5L12O23O18A14,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwfc2d7a17/images/swatch/Sandro_SFPRO03659-E120_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2e90c0a0/images/hi-res/Sandro_SFPRO03659-E120_V_1.jpg?sw=650&sh=650
TROUSERS WITH DARTS,Yellow orange,https://us.sandro-paris.com/en/p/trousers-with-darts/SFPPA01435_E120.html,Y5L12O23O18A14,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw72d6ec2f/images/swatch/Sandro_SFPPA01435-E120_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb9721789/images/hi-res/Sandro_SFPPA01435-E120_V_1.jpg?sw=650&sh=650
LONG ASYMMETRICAL SKIRT,Yellow / Ecru,https://us.sandro-paris.com/en/p/long-asymmetrical-skirt/SFPJU01156_E122.html,Y5L12O23E3R21,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw74c120f3/images/swatch/Sandro_SFPJU01156-E122_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7eca6a04/images/hi-res/Sandro_SFPJU01156-E122_V_1.jpg?sw=650&sh=650
PATCHWORK MAXI DRESS,Multi-Color,https://us.sandro-paris.com/en/p/patchwork-maxi-dress/SFPRO03656_MULT.html,M21L20I3O12O18,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dw896d13e5/images/swatch/Sandro_SFPRO03656-MULT_V_S.jpg?sw=32&sh=32,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb2f39bfb/images/hi-res/Sandro_SFPRO03656-MULT_F_1.jpg?sw=650&sh=650
