Product Name,Color,Product URL,Unique Color ID, Swatch Image URL,Scraped Image URL
T-shirt with structured shoulders,Orange Tie-dye,"https://us.maje.com/en/p/t-shirt-with-structured-shoulders/MFPTS00847_E018.html",O18A14G5T9E4,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe1e2c1d5/images/swatch/Maje_MFPTS00847-E018_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwc1616001/images/hi-res/Maje_MFPTS00847-E018_H_1.jpg?sw=720&sh=955"
Patterned shorts,White,"https://us.maje.com/en/p/patterned-shorts/MFPSH00567_10.html",W8I20E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd308b9ff/images/swatch/Maje_MFPSH00567-10_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw21850746/images/hi-res/Maje_MFPSH00567-10_H_1.jpg?sw=720&sh=955"
Contrast trench coat,Mole,"https://us.maje.com/en/p/contrast-trench-coat/MFPOU01194_0035.html",M15L5,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw49ab360d/images/swatch/Maje_MFPOU01194-0035_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd406538c/images/hi-res/Maje_MFPOU01194-0035_H_1.jpg?sw=720&sh=955"
Pleated Bermuda shorts,Ecru,"https://us.maje.com/en/p/pleated-bermuda-shorts/MFPSH00583_0101.html",E3R21,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa0d5e482/images/swatch/Maje_MFPSH00583-0101_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8dea7611/images/hi-res/Maje_MFPSH00583-0101_H_1.jpg?sw=720&sh=955"
Wide-leg suit trousers,Ecru,"https://us.maje.com/en/p/wide-leg-suit-trousers/MFPPA00618_0101.html",E3R21,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe689b21a/images/swatch/Maje_MFPPA00618-0101_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8ed7956d/images/hi-res/Maje_MFPPA00618-0101_H_1.jpg?sw=720&sh=955"
Striped suit jacket,Beige,"https://us.maje.com/en/p/striped-suit-jacket/MFPVE00546_0130.html",B5I7E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw46546117/images/swatch/Maje_MFPVE00546-0130_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf5090192/images/hi-res/Maje_MFPVE00546-0130_H_1.jpg?sw=720&sh=955"
Striped layered effect shorts,Beige,"https://us.maje.com/en/p/striped-layered-effect-shorts/MFPSH00531_0130.html",B5I7E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw98513810/images/swatch/Maje_MFPSH00531-0130_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw9436bc87/images/hi-res/Maje_MFPSH00531-0130_H_1.jpg?sw=720&sh=955"
Suit trousers,Yellow banana,"https://us.maje.com/en/p/suit-trousers/MFPPA00626_E015.html",Y5L12O23B1N1,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw7e92a015/images/swatch/Maje_MFPPA00626-E015_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe3630bfc/images/hi-res/Maje_MFPPA00626-E015_H_1.jpg?sw=720&sh=955"
High-waisted trousers,Beige,"https://us.maje.com/en/p/high-waisted-trousers/MFPPA00601_0130.html",B5I7E,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0e9aceb8/images/swatch/Maje_MFPPA00601-0130_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw85291c51/images/hi-res/Maje_MFPPA00601-0130_H_1.jpg?sw=720&sh=955"
Suit jacket,Yellow banana,"https://us.maje.com/en/p/suit-jacket/MFPVE00558_E015.html",Y5L12O23B1N1,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw7c816d43/images/swatch/Maje_MFPVE00558-E015_H_S.jpg?sw=50&sh=50,"https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw06a1983c/images/hi-res/Maje_MFPVE00558-E015_H_1.jpg?sw=720&sh=955"
