Product Name,Color,Product URL,Scraped Image URL
Ambition Blazer,LIGHT BIRCH,https://www.aritzia.com/us/en/product/ambition-blazer/118191.html?dwvar_118191_color=11420,https://assets.aritzia.com/image/upload/medium/s24_01_a04_118191_11420_off_a.jpg
Ambition Blazer,BLACK,https://www.aritzia.com/us/en/product/ambition-blazer/118191.html?dwvar_118191_color=1274,https://assets.aritzia.com/image/upload/medium/s24_01_a04_118191_1274_off_a.jpg
Ambition Blazer,FELTED TAUPE,https://www.aritzia.com/us/en/product/ambition-blazer/118191.html?dwvar_118191_color=28462,https://assets.aritzia.com/image/upload/medium/s24_01_a04_118191_28462_off_a.jpg
"BUTTER Atmosphere Hi-Rise 5"" Short",ASHEN,https://www.aritzia.com/us/en/product/butter-atmosphere-hi-rise-5%22-short/116695.html?dwvar_116695_color=160,https://assets.aritzia.com/image/upload/medium/s24_14_a26_116695_160_off_a.jpg
Contour Mini Tube Dress,BLACK,https://www.aritzia.com/us/en/product/contour-mini-tube-dress/122879.html?dwvar_122879_color=1274,https://assets.aritzia.com/image/upload/medium/s24_99_a08_122879_1274_off_a.jpg
Contour Mini Tube Dress,WHITE,https://www.aritzia.com/us/en/product/contour-mini-tube-dress/122879.html?dwvar_122879_color=1275,https://assets.aritzia.com/image/upload/medium/s24_99_a08_122879_1275_off_a.jpg
"TnaBUTTER™ New Rhythm 5"" Romper",BARELY BLUSH,https://www.aritzia.com/us/en/product/tnabutter%E2%84%A2-new-rhythm-5%22-romper/110351.html?dwvar_110351_color=29484,https://assets.aritzia.com/image/upload/medium/s23_19_a27_110351_29484_off_a.jpg
"TnaBUTTER™ New Rhythm 5"" Romper",BLACK,https://www.aritzia.com/us/en/product/tnabutter%E2%84%A2-new-rhythm-5%22-romper/110351.html?dwvar_110351_color=1274,https://assets.aritzia.com/image/upload/medium/f23_19_a27_110351_1274_off_a.jpg
Souvenir Sweater,HEATHER CHARCOAL,https://www.aritzia.com/us/en/product/souvenir-sweater/112193.html?dwvar_112193_color=6046,https://assets.aritzia.com/image/upload/medium/f23_07_a03_112193_6046_off_a.jpg
Souvenir Sweater,LIGHT BIRCH,https://www.aritzia.com/us/en/product/souvenir-sweater/112193.html?dwvar_112193_color=11420,https://assets.aritzia.com/image/upload/medium/f23_07_a03_112193_11420_off_a.jpg
Souvenir Sweater,HEATHER BONE,https://www.aritzia.com/us/en/product/souvenir-sweater/112193.html?dwvar_112193_color=10250,https://assets.aritzia.com/image/upload/medium/f23_07_a03_112193_10250_off_a.jpg
Souvenir Sweater,TAUPE BEIGE,https://www.aritzia.com/us/en/product/souvenir-sweater/112193.html?dwvar_112193_color=15617,https://assets.aritzia.com/image/upload/medium/f23_07_a03_112193_15617_off_a.jpg
Souvenir Sweater,HEATHER LIGHT GREY,https://www.aritzia.com/us/en/product/souvenir-sweater/112193.html?dwvar_112193_color=6162,https://assets.aritzia.com/image/upload/medium/f23_07_a03_112193_6162_off_a.jpg
Souvenir Sweater,ADMIRAL,https://www.aritzia.com/us/en/product/souvenir-sweater/112193.html?dwvar_112193_color=10230,https://assets.aritzia.com/image/upload/medium/f23_07_a03_112193_10230_off_a.jpg
Rib Seamless Willow Cropped T-Shirt,CRUISE BLUE,https://www.aritzia.com/us/en/product/rib-seamless-willow-cropped-t-shirt/116579.html?dwvar_116579_color=30360,https://assets.aritzia.com/image/upload/medium/s24_99_a01_116579_30360_off_a.jpg
The Effortless Short™ Linen Mid-Thigh,LONDON GREY,https://www.aritzia.com/us/en/product/the-effortless-short%E2%84%A2-linen-mid-thigh/119073.html?dwvar_119073_color=33233,https://assets.aritzia.com/image/upload/medium/s24_99_a26_119073_33233_off_a.jpg
The Effortless Short™ Linen Mid-Thigh,CAIRO,https://www.aritzia.com/us/en/product/the-effortless-short%E2%84%A2-linen-mid-thigh/119073.html?dwvar_119073_color=3048,https://assets.aritzia.com/image/upload/medium/s24_99_a26_119073_3048_off_a.jpg
The New Summit Parka Short,MODERN TAUPE,https://www.aritzia.com/us/en/product/the-new-summit-parka-short/111060.html?dwvar_111060_color=6038,https://assets.aritzia.com/image/upload/medium/f23_03_a05_111060_6038_off_a.jpg
The New Summit Parka Short,BLACK,https://www.aritzia.com/us/en/product/the-new-summit-parka-short/111060.html?dwvar_111060_color=1274,https://assets.aritzia.com/image/upload/medium/f23_03_a05_111060_1274_off_a.jpg
The New Summit Parka Short,BLACK/BLACK,https://www.aritzia.com/us/en/product/the-new-summit-parka-short/111060.html?dwvar_111060_color=1626,https://assets.aritzia.com/image/upload/medium/f23_03_a05_111060_1626_off_a.jpg
The New Summit Parka Short,ELEGANT CHARCOAL,https://www.aritzia.com/us/en/product/the-new-summit-parka-short/111060.html?dwvar_111060_color=18872,https://assets.aritzia.com/image/upload/medium/f23_03_a05_111060_18872_off_a.jpg
The New Summit Parka Short,MT PEARL/ MT PEARL,https://www.aritzia.com/us/en/product/the-new-summit-parka-short/111060.html?dwvar_111060_color=31826,https://assets.aritzia.com/image/upload/medium/f23_03_a05_111060_31826_off_a.jpg
BUTTER Shake-It Jumpsuit,TURNER TAUPE,https://www.aritzia.com/us/en/product/butter-shake-it-jumpsuit/116756.html?dwvar_116756_color=19049,https://assets.aritzia.com/image/upload/medium/s24_14_a27_116756_19049_off_a.jpg
BUTTER Shake-It Jumpsuit,BLACK,https://www.aritzia.com/us/en/product/butter-shake-it-jumpsuit/116756.html?dwvar_116756_color=1274,https://assets.aritzia.com/image/upload/medium/s24_14_a27_116756_1274_off_a.jpg
BUTTER Shake-It Jumpsuit,RICH MOCHA BROWN,https://www.aritzia.com/us/en/product/butter-shake-it-jumpsuit/116756.html?dwvar_116756_color=18891,https://assets.aritzia.com/image/upload/medium/s24_14_a27_116756_18891_off_a.jpg
The Slouch™ Coat — Wool Cashmere,TWEED BLACK/WHITE,https://www.aritzia.com/us/en/product/the-slouch%E2%84%A2-coat/111824.html?dwvar_111824_color=29211,https://assets.aritzia.com/image/upload/medium/f23_01_a05_111824_29211_off_a.jpg
The Slouch™ Coat — Wool Cashmere,TWEED BLACK/GREY,https://www.aritzia.com/us/en/product/the-slouch%E2%84%A2-coat/111824.html?dwvar_111824_color=31295,https://assets.aritzia.com/image/upload/medium/f23_01_a05_111824_31295_off_a.jpg
"GlossForm™ New Cheeky Hi-Rise 3"" Short",DEEP TAUPE,https://www.aritzia.com/us/en/product/glossform%E2%84%A2-new-cheeky-hi-rise-3%22-short/118880.html?dwvar_118880_color=18914,https://assets.aritzia.com/image/upload/medium/s24_14_a26_118880_18914_off_a.jpg
"GlossForm™ New Cheeky Hi-Rise 3"" Short",LAVANDIN,https://www.aritzia.com/us/en/product/glossform%E2%84%A2-new-cheeky-hi-rise-3%22-short/118880.html?dwvar_118880_color=24274,https://assets.aritzia.com/image/upload/medium/s24_14_a26_118880_24274_off_a.jpg
"GlossForm™ New Cheeky Hi-Rise 3"" Short",BLACK,https://www.aritzia.com/us/en/product/glossform%E2%84%A2-new-cheeky-hi-rise-3%22-short/118880.html?dwvar_118880_color=1274,https://assets.aritzia.com/image/upload/medium/s24_14_a26_118880_1274_off_a.jpg
Freestyle Jumpsuit,SHITAKE,https://www.aritzia.com/us/en/product/freestyle-jumpsuit/99810.html?dwvar_99810_color=1952,https://assets.aritzia.com/image/upload/medium/s23_07_a27_99810_1952_off_a.jpg
Freestyle Jumpsuit,BLACK,https://www.aritzia.com/us/en/product/freestyle-jumpsuit/99810.html?dwvar_99810_color=1274,https://assets.aritzia.com/image/upload/medium/f23_07_a27_99810_1274_off_a.jpg
Freestyle Jumpsuit,BITTER SAGE,https://www.aritzia.com/us/en/product/freestyle-jumpsuit/99810.html?dwvar_99810_color=27381,https://assets.aritzia.com/image/upload/medium/s23_07_a27_99810_27381_off_a.jpg
Freestyle Jumpsuit,DEEP TAUPE,https://www.aritzia.com/us/en/product/freestyle-jumpsuit/99810.html?dwvar_99810_color=18914,https://assets.aritzia.com/image/upload/medium/s23_07_a27_104172_18914_off_a.jpg
SoftWhip™ New Cheeky Hi-Rise Legging,HEATHER CLOUD WHITE,https://www.aritzia.com/us/en/product/softwhip%E2%84%A2-new-cheeky-hi-rise-legging/115790.html?dwvar_115790_color=19451,https://assets.aritzia.com/image/upload/medium/s24_14_a06_115790_19451_off_a.jpg
"TnaLIFE™ Shake-It 7"" Romper",BLACK,https://www.aritzia.com/us/en/product/tnalife%E2%84%A2-shake-it-7%22-romper/107681.html?dwvar_107681_color=1274,https://assets.aritzia.com/image/upload/medium/f23_19_a27_107681_1274_off_a.jpg
"TnaLIFE™ Shake-It 7"" Romper",BARELY BLUSH,https://www.aritzia.com/us/en/product/tnalife%E2%84%A2-shake-it-7%22-romper/107681.html?dwvar_107681_color=29484,https://assets.aritzia.com/image/upload/medium/s23_19_a27_107681_29484_off_a.jpg
"TnaLIFE™ Shake-It 7"" Romper",TURNER TAUPE,https://www.aritzia.com/us/en/product/tnalife%E2%84%A2-shake-it-7%22-romper/107681.html?dwvar_107681_color=19049,https://assets.aritzia.com/image/upload/medium/s23_19_a27_107681_19049_off_a.jpg
"BUTTER Atmosphere Hi-Rise 7"" Short",SHADED GREY,https://www.aritzia.com/us/en/product/butter-atmosphere-hi-rise-7%22-short/116696.html?dwvar_116696_color=30394,https://assets.aritzia.com/image/upload/medium/s24_14_a26_116696_30394_off_a.jpg
Pesci Vest,GOLD CAMEL,https://www.aritzia.com/us/en/product/pesci-vest/114828.html?dwvar_114828_color=15033,https://assets.aritzia.com/image/upload/medium/s24_04_a04_114828_15033_off_a.jpg
Pesci Vest,BLACK,https://www.aritzia.com/us/en/product/pesci-vest/114828.html?dwvar_114828_color=1274,https://assets.aritzia.com/image/upload/medium/s24_04_a04_114828_1274_off_a.jpg
Pesci Vest,DARK NIGHT NAVY,https://www.aritzia.com/us/en/product/pesci-vest/114828.html?dwvar_114828_color=30751,https://assets.aritzia.com/image/upload/medium/s24_04_a04_114828_30751_off_a.jpg
Pesci Vest,MODERN TAUPE,https://www.aritzia.com/us/en/product/pesci-vest/114828.html?dwvar_114828_color=6038,https://assets.aritzia.com/image/upload/medium/s24_04_a04_114828_6038_off_a.jpg
