Product Name,Color,Product URL,Unique Color ID, Swatch URL,Scraped Image URL
YPB studioSOFT 7/8-Length Legging,ONYX SWATCH,https://www.abercrombie.com/shop/us/p/ypb-studiosoft-78-length-legging-58363319?categoryId=12205&faceout=model&seq=03,O14Y24S23A20C8,https://img.abercrombie.com/is/image/anf/KIC_119-3600-0677-900_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_119-3600-0677-900_prod1?policy=product-large
YPB neoKNIT Wedge Popover Hoodie,GRAPHITE SWATCH,https://www.abercrombie.com/shop/us/p/ypb-neoknit-wedge-popover-hoodie-57711006?categoryId=12205&faceout=model&seq=03,G18A16H9T5S23,https://img.abercrombie.com/is/image/anf/KIC_115-3087-1053-130_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_115-3087-1053-130_prod1?policy=product-large
The A&F Scarlett Faux Silk Mini Skort,BLACK SWATCH,https://www.abercrombie.com/shop/us/p/the-a-and-f-scarlett-satin-mini-skort-56223322?categoryId=12205&faceout=model&seq=02&afsource=social+proofing,B12A3K19W1T3,https://img.abercrombie.com/is/image/anf/KIC_143-4340-0100-900_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_143-4340-0100-900_prod1?policy=product-large
Essential Sunday Sweatpant,FEATHER GRAY SWATCH,https://www.abercrombie.com/shop/us/p/essential-sunday-sweatpant-57720827?categoryId=12205&faceout=model&seq=10&afsource=social+proofing,F5A20H5R7R1,https://img.abercrombie.com/is/image/anf/KIC_147-4321-0050-178_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_147-4321-0050-178_prod1?policy=product-large
Essential Sunday Sweatpant,LIGHT YELLOW SWATCH,https://www.abercrombie.com/shop/us/p/essential-sunday-sweatpant-57720827?categoryId=12205&faceout=model&seq=10&afsource=social+proofing,L9G8T25E12L15,https://img.abercrombie.com/is/image/anf/KIC_147-4000-0015-700_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_147-4000-0015-700_prod1?policy=product-large
Essential Sunday Sweatpant,BLUE SWATCH,https://www.abercrombie.com/shop/us/p/essential-sunday-sweatpant-57720827?categoryId=12205&faceout=model&seq=10&afsource=social+proofing,B12U5S23A20C8,https://img.abercrombie.com/is/image/anf/KIC_147-4032-0037-221_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_147-4032-0037-221_prod1?policy=product-large
Essential Sunday Sweatpant,GREEN SWATCH,https://www.abercrombie.com/shop/us/p/essential-sunday-sweatpant-57720827?categoryId=12205&faceout=model&seq=10&afsource=social+proofing,G18E5N19W1T3,https://img.abercrombie.com/is/image/anf/KIC_147-4030-0035-911_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_147-4030-0035-911_prod1?policy=product-large
Essential Sunday Sweatpant,LIGHT BLUE SWATCH,https://www.abercrombie.com/shop/us/p/essential-sunday-sweatpant-57720827?categoryId=12205&faceout=model&seq=10&afsource=social+proofing,L9G8T2L21E19,https://img.abercrombie.com/is/image/anf/KIC_147-4007-0016-263_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_147-4007-0016-263_prod1?policy=product-large
Essential Sunday Sweatpant,LIGHT GREY SWATCH,https://www.abercrombie.com/shop/us/p/essential-sunday-sweatpant-57720827?categoryId=12205&faceout=model&seq=10&afsource=social+proofing,L9G8T7R5Y19,https://img.abercrombie.com/is/image/anf/KIC_147-4028-0033-130_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_147-4028-0033-130_prod1?policy=product-large
YPB neoKNIT Mini Crew,OAT COLORBLOCK SWATCH,https://www.abercrombie.com/shop/us/p/ypb-neoknit-mini-crew-57710891?categoryId=12205&faceout=model&seq=09,O1T3O12O18B12,https://img.abercrombie.com/is/image/anf/KIC_115-3156-0009-400_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_115-3156-0009-400_prod1?policy=product-large
Slim Crew Sweater,CREAM SWATCH,https://www.abercrombie.com/shop/us/p/slim-crew-sweater-53499358?categoryId=12205&faceout=model&seq=01&afsource=social+proofing,C18E1M19W1T3,https://img.abercrombie.com/is/image/anf/KIC_150-4001-0176-101_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_150-4001-0176-101_prod1?policy=product-large
Slim Crew Sweater,LIGHT GREY SWATCH,https://www.abercrombie.com/shop/us/p/slim-crew-sweater-53499358?categoryId=12205&faceout=model&seq=01&afsource=social+proofing,L9G8T7R5Y19,https://img.abercrombie.com/is/image/anf/KIC_150-4001-0176-112_sw?policy=product-xsmall,https://img.abercrombie.com/is/image/anf/KIC_150-4001-0176-112_prod1?policy=product-large
