Product Name,Color,Product URL,Unique Color ID,Price Before,Price After
Ariadne Dress,Peacock,https://www.thereformation.com/products/ariadne-dress/1315460PCK.html?dwvar_1315460PCK_color=PCK,P5A3O3K,$398,$119.40
Arella Linen Dress,Mineral,https://www.thereformation.com/products/arella-linen-dress/1316098MNL.html?dwvar_1316098MNL_color=MNL,M9N5R1L,$218,$109
Arella Linen Dress,Tartine Check,https://www.thereformation.com/products/arella-linen-dress/1316098MNL.html?dwvar_1316098MNL_color=TTC,T1R20I14E3H5,$218,$109
Arella Linen Dress,White,https://www.thereformation.com/products/arella-linen-dress/1316098MNL.html?dwvar_1316098MNL_color=WHT,W8I20E,$218,$109
Abby High Rise Straight Jeans,Fior Di Latte,https://www.thereformation.com/products/abby-high-rise-straight-jeans/1313655FDL.html?dwvar_1313655FDL_color=FDL,F9O18D9L1T20,$168,$50.40
Abby High Rise Straight Jeans,Galway,https://www.thereformation.com/products/abby-high-rise-straight-jeans/1313655FDL.html?dwvar_1313655FDL_color=GWY,G1L23A25,$168,$50.40
Abby High Rise Straight Jeans,Lanier,https://www.thereformation.com/products/abby-high-rise-straight-jeans/1313655FDL.html?dwvar_1313655FDL_color=IER,L1N9E18,$168,$50.40
Abby High Rise Straight Jeans,Tenaya,https://www.thereformation.com/products/abby-high-rise-straight-jeans/1313655FDL.html?dwvar_1313655FDL_color=NEY,T5N1Y1,$168,$50.40
Abby High Rise Straight Jeans,Vana,https://www.thereformation.com/products/abby-high-rise-straight-jeans/1313655FDL.html?dwvar_1313655FDL_color=VVA,V1N1,$168,$50.40
Abby High Rise Straight Jeans,Ozark Vented,https://www.thereformation.com/products/abby-high-rise-straight-jeans/1313655FDL.html?dwvar_1313655FDL_color=ZVE,O26A18K22E14T5,$168,$50.40
Remi Cropped Linen Pant,Sundried Tomato,https://www.thereformation.com/products/remi-cropped-linen-pant/1314955SDM.html?dwvar_1314955SDM_color=SDM,S21N4R9E4T15,$178,$53.40
Remi Cropped Linen Pant,Vineyard,https://www.thereformation.com/products/remi-cropped-linen-pant/1314955SDM.html?dwvar_1314955SDM_color=VND,V9N5Y1R4,$178,$53.40
Remi Cropped Linen Pant,White,https://www.thereformation.com/products/remi-cropped-linen-pant/1314955SDM.html?dwvar_1314955SDM_color=WHT,W8I20E,$178,$53.40
Raye Mid Rise 6" Relaxed Jean Shorts,Chesapeake Studded,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135FDL.html?dwvar_1312135FDL_color=CDD,C8E19A16E1K5,$128,$38.40
Raye Mid Rise 6" Relaxed Jean Shorts,Fior Di Latte,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135FDL.html?dwvar_1312135FDL_color=FDL,F9O18D9L1T20,$128,$38.40
Raye Mid Rise 6" Relaxed Jean Shorts,Galveston,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135FDL.html?dwvar_1312135FDL_color=GVS,G1L22E19T15N,$128,$38.40
Raye Mid Rise 6" Relaxed Jean Shorts,Tenaya,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135FDL.html?dwvar_1312135FDL_color=NEY,T5N1Y1,$128,$38.40
Raye Mid Rise 6" Relaxed Jean Shorts,Colorado,https://www.thereformation.com/products/raye-mid-rise-6-relaxed-jean-shorts/1312135FDL.html?dwvar_1312135FDL_color=OLO,C15L15R1D15,$128,$38.40
Aribella Silk Dress,Orange Crush,https://www.thereformation.com/products/aribella-silk-dress/1308640EGC.html?dwvar_1308640EGC_color=EGC,O18A14G5C18U19,$278,$83.40
Aribella Silk Dress,Malibu Sunrise,https://www.thereformation.com/products/aribella-silk-dress/1308640EGC.html?dwvar_1308640EGC_color=RNU,M1L9B21S21N18,$278,$83.40
Meryl Linen Top,Tea Time,https://www.thereformation.com/products/meryl-linen-top/1314677TTE.html?dwvar_1314677TTE_color=TTE,T5A20I13E,$168,$84
Meryl Linen Top,White,https://www.thereformation.com/products/meryl-linen-top/1314677TTE.html?dwvar_1314677TTE_color=WHT,W8I20E,$168,$84
Aribella Silk Dress,Orange Crush,https://www.thereformation.com/products/aribella-silk-dress/1308640RNU.html?dwvar_1308640RNU_color=EGC,O18A14G5C18U19,$278,$83.40
Aribella Silk Dress,Malibu Sunrise,https://www.thereformation.com/products/aribella-silk-dress/1308640RNU.html?dwvar_1308640RNU_color=RNU,M1L9B21S21N18,$278,$83.40
Carolena Dress,Frolic,https://www.thereformation.com/products/carolena-dress/1307960MMY.html?dwvar_1307960MMY_color=FRO,F18O12I3,$248,$74.40
Carolena Dress,Meryl,https://www.thereformation.com/products/carolena-dress/1307960MMY.html?dwvar_1307960MMY_color=MMY,M5R25L,$248,$74.40
Avina Linen Dress,Black,https://www.thereformation.com/products/avina-linen-dress/1315408PNB.html?dwvar_1315408PNB_color=BLK,B12A3K,$198,$99
Avina Linen Dress,Knot,https://www.thereformation.com/products/avina-linen-dress/1315408PNB.html?dwvar_1315408PNB_color=KOT,K14O20,$198,$99
Avina Linen Dress,Parisian Blue,https://www.thereformation.com/products/avina-linen-dress/1315408PNB.html?dwvar_1315408PNB_color=PNB,P1R9S9A14B12,$198,$99
Stormi Dress,Dusk,https://www.thereformation.com/products/stormi-dress/1315009WHT.html?dwvar_1315009WHT_color=DSK,D21S11,$248,$124
Stormi Dress,White,https://www.thereformation.com/products/stormi-dress/1315009WHT.html?dwvar_1315009WHT_color=WHT,W8I20E,$248,$124
Malibu Linen Dress,Avocado,https://www.thereformation.com/products/malibu-linen-dress/1315265BLK.html?dwvar_1315265BLK_color=AVO,A22O3A4O,$278,$139
Malibu Linen Dress,Black,https://www.thereformation.com/products/malibu-linen-dress/1315265BLK.html?dwvar_1315265BLK_color=BLK,B12A3K,$278,$139
Malibu Linen Dress,Sunflower,https://www.thereformation.com/products/malibu-linen-dress/1315265BLK.html?dwvar_1315265BLK_color=SFW,S21N6L15W5R,$278,$139
Malibu Linen Dress,Tuscan Sun,https://www.thereformation.com/products/malibu-linen-dress/1315265BLK.html?dwvar_1315265BLK_color=TCS,T21S3A14S21N,$278,$139
Irene Linen Jacket,Parmesan,https://www.thereformation.com/products/irene-linen-jacket/1314746VND.html?dwvar_1314746VND_color=PMN,P1R13E19A14,$268,$134
Irene Linen Jacket,Sundried Tomato,https://www.thereformation.com/products/irene-linen-jacket/1314746VND.html?dwvar_1314746VND_color=SDM,S21N4R9E4T15,$268,$134
Irene Linen Jacket,Slate Check,https://www.thereformation.com/products/irene-linen-jacket/1314746VND.html?dwvar_1314746VND_color=STC,S12A20E3H5C11,$268,$134
Irene Linen Jacket,Vineyard,https://www.thereformation.com/products/irene-linen-jacket/1314746VND.html?dwvar_1314746VND_color=VND,V9N5Y1R4,$268,$134
Mason Cropped Pant,Light Khaki,https://www.thereformation.com/products/mason-cropped-pant/1312368LKI.html?dwvar_1312368LKI_color=LKI,L9G8T11H1K9,$178,$89
Mason Cropped Pant,Oyster,https://www.thereformation.com/products/mason-cropped-pant/1312368LKI.html?dwvar_1312368LKI_color=OYS,O25S20E18,$178,$89
Mason Pant,Black Currant,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=BKX,B12A3K3U18R1,$178,$53.40
Mason Pant,Black,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=BLK,B12A3K,$178,$53.40
Mason Pant,Charcoal,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=CHC,C8A18C15A12,$178,$53.40
Mason Pant,Camel,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=CML,C1M5L,$178,$53.40
Mason Pant,Corvette,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=CVT,C15R22E20T5,$178,$53.40
Mason Pant,Khaki,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=KHA,K8A11I,$178,$53.40
Mason Pant,Slate Stripe,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=SLP,S12A20E19T18I16,$178,$53.40
Mason Pant,Sugar,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=USG,S21G1R,$178,$53.40
Mason Pant,Woodland,https://www.thereformation.com/products/mason-pant/1305906CVT.html?dwvar_1305906CVT_color=WLN,W15O4L1N4,$178,$53.40
Emerick Dress,Bonbon,https://www.thereformation.com/products/emerick-dress/1312448DEC.html?dwvar_1312448DEC_color=BBN,B15N2O14,$198,$99
Emerick Dress,Decoupage,https://www.thereformation.com/products/emerick-dress/1312448DEC.html?dwvar_1312448DEC_color=DEC,D5C15U16A7E,$198,$99
Emerick Dress,Fresno,https://www.thereformation.com/products/emerick-dress/1312448DEC.html?dwvar_1312448DEC_color=FNO,F18E19N15,$198,$99
Emerick Dress,Leo,https://www.thereformation.com/products/emerick-dress/1312448DEC.html?dwvar_1312448DEC_color=LEE,L5O,$198,$99
Suki Dress,Avocado,https://www.thereformation.com/products/suki-dress/1314500LRZ.html?dwvar_1314500LRZ_color=AVO,A22O3A4O,$248,$124
Suki Dress,Fior Di Latte,https://www.thereformation.com/products/suki-dress/1314500LRZ.html?dwvar_1314500LRZ_color=FDL,F9O18D9L1T20,$248,$124
Suki Dress,Sanguine,https://www.thereformation.com/products/suki-dress/1314500LRZ.html?dwvar_1314500LRZ_color=INE,S1N7U9N5,$248,$124
Suki Dress,Lorenza,https://www.thereformation.com/products/suki-dress/1314500LRZ.html?dwvar_1314500LRZ_color=LRZ,L15R5N26A,$248,$124
Suki Dress,Navy,https://www.thereformation.com/products/suki-dress/1314500LRZ.html?dwvar_1314500LRZ_color=NVY,N1V25,$248,$124
Suki Dress,Mole,https://www.thereformation.com/products/suki-dress/1314500LRZ.html?dwvar_1314500LRZ_color=OOL,M15L5,$248,$124
Lila Silk Dress,Milla,https://www.thereformation.com/products/lila-silk-dress/1315267WPH.html?dwvar_1315267WPH_color=MMA,M9L12A,$278,$139
Lila Silk Dress,White Peach,https://www.thereformation.com/products/lila-silk-dress/1315267WPH.html?dwvar_1315267WPH_color=WPH,W8I20E16E1C8,$278,$139
Juliette Dress,Artemis,https://www.thereformation.com/products/juliette-dress/1304968ATI.html?dwvar_1304968ATI_color=ATI,A18T5M9S,$248,$124
Juliette Dress,Rose Petals,https://www.thereformation.com/products/juliette-dress/1304968ATI.html?dwvar_1304968ATI_color=RES,R15S5P5T1L19,$248,$124
Remi Cropped Linen Pant,Sundried Tomato,https://www.thereformation.com/products/remi-cropped-linen-pant/1314955WHT.html?dwvar_1314955WHT_color=SDM,S21N4R9E4T15,$178,$53.40
Remi Cropped Linen Pant,Vineyard,https://www.thereformation.com/products/remi-cropped-linen-pant/1314955WHT.html?dwvar_1314955WHT_color=VND,V9N5Y1R4,$178,$53.40
Remi Cropped Linen Pant,White,https://www.thereformation.com/products/remi-cropped-linen-pant/1314955WHT.html?dwvar_1314955WHT_color=WHT,W8I20E,$178,$53.40
Malibu Linen Dress,Avocado,https://www.thereformation.com/products/malibu-linen-dress/1315265SFW.html?dwvar_1315265SFW_color=AVO,A22O3A4O,$278,$83.40
Malibu Linen Dress,Black,https://www.thereformation.com/products/malibu-linen-dress/1315265SFW.html?dwvar_1315265SFW_color=BLK,B12A3K,$278,$83.40
