Product Name,Color,Product URL,Unique Color ID,Scraped Available Sizes,Scraped Image URL,Price Before,Price After
LINA ONE SHOULDER LOOSE KNIT DRESS,ONE_COLOR,https://thefrankieshop.com/products/lina-one-shoulder-loose-knit-dress-black?_pos=18&_fid=040ea74ca&_ss=c&variant=42290191761568,O14E3O12O18,"XS, S, M, L",https://thefrankieshop.com/cdn/shop/products/LinaOneShoulderLooseKnitDress-Black-Danielle-15nov-20798_1.jpg?v=1669314303&width=1380,210 USD,126 USD
KALINE LIGHT BLUE PANTS,ONE_COLOR,https://thefrankieshop.com/products/kaline-light-blue-pants-white-stripe?_pos=19&_fid=040ea74ca&_ss=c&variant=44606629183648,O14E3O12O18,"L",https://thefrankieshop.com/cdn/shop/files/KALINE-LIGHT-BLUE-PANTS-WHITE-STRIPE-Monica-4feb-37639_1.jpg?v=1684493698&width=1380,135 USD,95 USD
BEA SUIT PANTS,ONE_COLOR,https://thefrankieshop.com/products/bea-suit-pants-melon?_pos=20&_fid=040ea74ca&_ss=c&variant=41140719485088,O14E3O12O18,"XS, L",https://thefrankieshop.com/cdn/shop/products/bea-suit-pants-melon-pants-the-frankie-shop-623696.jpg?v=1679662651&width=1380,229 USD,80 USD
MAESA CARGO PANTS,ONE_COLOR,https://thefrankieshop.com/products/maesa-cargo-pants-brown?_pos=21&_fid=040ea74ca&_ss=c&variant=42408221671584,O14E3O12O18,"L",https://thefrankieshop.com/cdn/shop/products/maesa-cargo-pants-brown-pants-the-frankie-shop-668959.jpg?v=1661774886&width=1380,225 USD,135 USD
BIANCA ONE SHOULDER LOOSE KNIT TOP,ONE_COLOR,https://thefrankieshop.com/products/bianca-one-shoulder-loose-knit-top-black?_pos=22&_fid=040ea74ca&_ss=c&variant=42290093129888,O14E3O12O18,"XS, M, L",https://thefrankieshop.com/cdn/shop/products/BiancaOneShoulderLooseKnitTop-Black-Danielle-15nov-18864_4.jpg?v=1669662948&width=1380,185 USD,111 USD
GLADYS CARGO PANTS,ONE_COLOR,https://thefrankieshop.com/products/gladys-cargo-pants-white?_pos=23&_fid=040ea74ca&_ss=c&variant=44658662801568,O14E3O12O18,"S, M",https://thefrankieshop.com/cdn/shop/files/Gladys-Cargo-Pants-White-MARIE-14avril-10968_2.jpg?v=1708595972&width=1380,185 USD,130 USD
LAON RIPPED JEANS,ONE_COLOR,https://thefrankieshop.com/products/laon-ripped-jeans-worn-wash?_pos=24&_fid=040ea74ca&_ss=c&variant=41746700468384,O14E3O12O18,"28.0, 30.0",https://thefrankieshop.com/cdn/shop/products/laon-ripped-jeans-worn-wash-pants-blossom-206667.jpg?v=1645449047&width=1380,149 USD,84 USD
ANADA CARGO PANTS,ONE_COLOR,https://thefrankieshop.com/products/anada-cargo-pants-mint?_pos=25&_fid=040ea74ca&_ss=c&variant=41983060607136,O14E3O12O18,"S, L",https://thefrankieshop.com/cdn/shop/products/anada-cargo-pants-mint-pants-the-frankie-shop-182896.jpg?v=1668788472&width=1380,139 USD,51 USD
BONNIE CROC-EFFECT PANTS,ONE_COLOR,https://thefrankieshop.com/products/bonnie-croc-effect-pants-black?_pos=26&_fid=040ea74ca&_ss=c&variant=45573168890016,O14E3O12O18,"M",https://thefrankieshop.com/cdn/shop/files/BONNIE-CROC-EFFECT-PANTS-BLACK-ALEYNA-20230428-FRANKIE_SHOT-4_363.jpg?v=1698771826&width=1380,368 USD,221 USD
TILLA BOATNECK TOP,ONE_COLOR,https://thefrankieshop.com/products/tilla-boatneck-top-white-stripe?_pos=27&_fid=040ea74ca&_ss=c,O14E3O12O18,"XS/S, M/L",https://thefrankieshop.com/cdn/shop/files/TILLA-BOATNECK-TOP-WHITE-STRIPE-KRISTIN-13jan-32507_4.jpg?v=1683133351&width=1380,110 USD,54 USD
CALLIE PANTS,ONE_COLOR,https://thefrankieshop.com/products/callie-pants-white?_pos=28&_fid=040ea74ca&_ss=c&variant=44941134397600,O14E3O12O18,"L",https://thefrankieshop.com/cdn/shop/files/CALLIE-PANTS-WHITE-14.jpg?v=1686642419&width=1380,96 USD,68 USD
ANNABEL ASYMMETRIC MIDI SKIRT,ONE_COLOR,https://thefrankieshop.com/products/annabel-asymmetric-midi-skirt-grey?_pos=29&_fid=040ea74ca&_ss=c&variant=44675598123168,O14E3O12O18,"XS, M, L",https://thefrankieshop.com/cdn/shop/files/Annabel-Asymmetric-Midi-Skirt-Grey-CHARLOTTE-28avril-14724_4.jpg?v=1685109239&width=1380,150 USD,105 USD
BEA STRIPE SUIT PANTS,ONE_COLOR,https://thefrankieshop.com/products/bea-stripe-suit-pants-white-light-blue?_pos=30&_fid=040ea74ca&_ss=c&variant=42119614365856,O14E3O12O18,"XS",https://thefrankieshop.com/cdn/shop/products/bea-stripe-suit-pants-whitelight-blue-pants-the-frankie-shop-956258.jpg?v=1703778500&width=1380,198 USD,96 USD
LUI OXFORD SHIRT,ONE_COLOR,https://thefrankieshop.com/products/lui-oxford-shirt-pale-yellow-black-stripe?_pos=31&_fid=040ea74ca&_ss=c&variant=43374776123552,O14E3O12O18,"XL",https://thefrankieshop.com/cdn/shop/files/LUI-OXFORD-SHIRT-PALE-YELLOW-BLACK-STRIPE-LOANE-12mai-16286_4.jpg?v=1686437552&width=1380,193 USD,116 USD
DIRA TROUSERS,ONE_COLOR,https://thefrankieshop.com/products/dira-trousers-cream?_pos=32&_fid=040ea74ca&_ss=c&variant=42887178584224,O14E3O12O18,"S",https://thefrankieshop.com/cdn/shop/products/Diratrousers-Cream-Tais-4oct-10628_4.jpg?v=1674809840&width=1380,185 USD,104 USD
UMA CROPPED SHIRT,ONE_COLOR,https://thefrankieshop.com/products/uma-cropped-shirt-olive?_pos=33&_fid=040ea74ca&_ss=c&variant=42067759333536,O14E3O12O18,"L",https://thefrankieshop.com/cdn/shop/products/uma-cropped-shirt-olive-shirt-the-frankie-shop-604780.jpg?v=1653074373&width=1380,195 USD,94 USD
CARLEY LONG SKIRT,ONE_COLOR,https://thefrankieshop.com/products/carley-long-skirt-camel?_pos=34&_fid=040ea74ca&_ss=c&variant=46936200183968,O14E3O12O18,"M, L",https://thefrankieshop.com/cdn/shop/files/CARLEY-LONG-SKIRT-CAMEL-SANTANA-20475.jpg?v=1697617900&width=1380,190 USD,133 USD
DELPHI BELTED PANTS,ONE_COLOR,https://thefrankieshop.com/products/delphi-belted-pants-cream?_pos=35&_fid=040ea74ca&_ss=c&variant=45519786115232,O14E3O12O18,"XS, S, L",https://thefrankieshop.com/cdn/shop/files/DELPHI-PANTS-KOREA2.jpg?v=1683795910&width=1380,165 USD,93 USD
WREN DENIM ROMPER,ONE_COLOR,https://thefrankieshop.com/products/wren-denim-romper-raw-wash?_pos=36&_fid=040ea74ca&_ss=c&variant=47463512703136,O14E3O12O18,"S, M",https://thefrankieshop.com/cdn/shop/files/WREN-DENIM-ROMPER-RAW-WASH-ENIOLA-36966.jpg?v=1714121429&width=1380,228 USD,160 USD
LILLY PLEATED TROUSERS,ONE_COLOR,https://thefrankieshop.com/products/lilly-pleated-trousers-black?_pos=37&_fid=040ea74ca&_ss=c&variant=47119259959456,O14E3O12O18,"L",https://thefrankieshop.com/cdn/shop/files/LILLY-PLEATED-TROUSERS-BLACK-JULIA-23754.jpg?v=1697038985&width=1380,195 USD,137 USD
GLENN WIDE PANTS,ONE_COLOR,https://thefrankieshop.com/products/glenn-wide-pants-black?_pos=38&_fid=040ea74ca&_ss=c&variant=42702672429216,O14E3O12O18,"S, M",https://thefrankieshop.com/cdn/shop/products/GlennCroppedCrossoverBlazer-Black-GlennWidePants-Black-Azenor-05Sept-20221065_1_02.jpg?v=1668675680&width=1380,199 USD,112 USD
LAUREN SILKY CARGO PANTS,ONE_COLOR,https://thefrankieshop.com/products/lauren-silky-cargo-pants-cream?_pos=39&_fid=040ea74ca&_ss=c&variant=42316890407072,O14E3O12O18,"L",https://thefrankieshop.com/cdn/shop/products/lauren-silky-cargo-pants-cream-pants-the-frankie-shop-812798.jpg?v=1658159863&width=1380,199 USD,112 USD
XAVIER BERMUDA DENIM SHORTS,ONE_COLOR,https://thefrankieshop.com/products/xavier-bermuda-denim-shorts-raw-wash?_pos=40&_fid=040ea74ca&_ss=c&variant=47463516602528,O14E3O12O18,"S, M, L, XL",https://thefrankieshop.com/cdn/shop/files/XAVIER-BERMUDA-DENIM-SHORTS-RAW-WASH-ENIOLA-37091.jpg?v=1713940541&width=1380,172 USD,121 USD
BLAKE PLEATED DENIM MINI SKIRT,ONE_COLOR,https://thefrankieshop.com/products/blake-pleated-denim-mini-skirt-raw-wash?_pos=41&_fid=040ea74ca&_ss=c,O14E3O12O18,"XS, S, M, L, XL",https://thefrankieshop.com/cdn/shop/files/BLAKE-PLEATED-DENIM-MINI-SKIRT-RAW-WASH-ENIOLA-38587.jpg?v=1713940757&width=1380,148 USD,104 USD
RILEY SEQUINS TEE MINI DRESS,ONE_COLOR,https://thefrankieshop.com/products/riley-sequins-tee-mini-dress-olive?_pos=42&_fid=040ea74ca&_ss=c&variant=43060297760928,O14E3O12O18,"XS, S",https://thefrankieshop.com/cdn/shop/files/Riley-Sequins-Tee-Mini-Dress-Olive-Dipti-21juin-8921_1.jpg?v=1688044727&width=1380,279 USD,81 USD
SASHA WIDE LEG JEANS,ONE_COLOR,https://thefrankieshop.com/products/sasha-wide-leg-jeans-cream-black-stripe?_pos=43&_fid=040ea74ca&_ss=c&variant=47119260188832,O14E3O12O18,"XS, S, M, L",https://thefrankieshop.com/cdn/shop/files/SASHA-WIDE-LEG-JEANS-CREAM-BLACK-STRIPE-ENIOLA-38165.jpg?v=1712047664&width=1380,199 USD,140 USD
TAB CUFF SWEATPANTS,ONE_COLOR,https://thefrankieshop.com/products/tab-cuff-sweatpants-camel?_pos=44&_fid=040ea74ca&_ss=c&variant=37531124990112,O14E3O12O18,"XS, S",https://thefrankieshop.com/cdn/shop/products/tab-cuff-sweatpants-in-camel-pants-the-frankie-shop-876592.jpg?v=1608806653&width=1380,134 USD,44 USD
NOLAN PLEATED DENIM TROUSERS,ONE_COLOR,https://thefrankieshop.com/products/nolan-pleated-denim-trousers-raw-wash?_pos=45&_fid=040ea74ca&_ss=c&variant=47463517716640,O14E3O12O18,"S, M, L",https://thefrankieshop.com/cdn/shop/files/NOLAN-PLEATED-DENIM-TROUSERS-RAW-WASH-ENIOLA-37186.jpg?v=1713940291&width=1380,183 USD,129 USD
SOLANGE KNIT PENCIL SKIRT,ONE_COLOR,https://thefrankieshop.com/products/solange-knit-pencil-skirt-black?_pos=46&_fid=040ea74ca&_ss=c&variant=47643467350176,O14E3O12O18,"S, M, L",https://thefrankieshop.com/cdn/shop/files/SOLANGE-KNIT-PENCIL-SKIRT-BLACK-LETA-202458656.jpg?v=1713195246&width=1380,199 USD,140 USD
DIRA TROUSERS,ONE_COLOR,https://thefrankieshop.com/products/dira-trousers-black?_pos=47&_fid=040ea74ca&_ss=c&variant=42824042610848,O14E3O12O18,"M, L",https://thefrankieshop.com/cdn/shop/products/DiraBlazer-Black-Tais-10942_1_a7500254-0a0e-4435-b4fd-3d7d948ad4e4.jpg?v=1673909852&width=1380,185 USD,104 USD
RILEY SEQUINS TEE MINI DRESS,ONE_COLOR,https://thefrankieshop.com/products/riley-sequins-tee-mini-dress-cream?_pos=48&_fid=040ea74ca&_ss=c&variant=43060318339232,O14E3O12O18,"XS, S, L",https://thefrankieshop.com/cdn/shop/products/RILEYSEQUINSTEEMINIDRESS-CREAM-kristin-31018.jpg?v=1684741683&width=1380,279 USD,81 USD
SIERRA TEE,ONE_COLOR,https://thefrankieshop.com/products/sierra-tee-navy?_pos=49&_fid=040ea74ca&_ss=c&variant=47643477377184,O14E3O12O18,"XS",https://cdn.shopify.com/s/files/1/1527/0993/files/SIERRA-TEE-NAVY-ENIOLA-37431.jpg?v=1713941117&width=1380,124 USD,87 USD
MANI ROLL UP SLEEVE TEE,ONE_COLOR,https://thefrankieshop.com/products/mani-roll-up-sleeve-tee-black-red?_pos=50&_fid=040ea74ca&_ss=c&variant=46936199889056,O14E3O12O18,"M",https://cdn.shopify.com/s/files/1/1527/0993/files/MANI-ROLL-UP-SLEEVE-TEE-BLACK-RED-XIAODAN-1593.jpg?v=1700034924&width=1380,75 USD,45 USD
BRIGHTON FAUX LEATHER JOGGERS,ONE_COLOR,https://thefrankieshop.com/products/brighton-faux-leather-joggers-brown?_pos=51&_fid=040ea74ca&_ss=c&variant=42989776994464,O14E3O12O18,"S",https://cdn.shopify.com/s/files/1/1527/0993/products/UntitledCapture24404.jpg?v=1680772196&width=1380,128 USD,72 USD
SASHA WIDE LEG JEANS,ONE_COLOR,https://thefrankieshop.com/products/sasha-wide-leg-jeans-navy-white-stripe?_pos=52&_fid=040ea74ca&_ss=c,O14E3O12O18,"XS, S, M, L, XL",https://cdn.shopify.com/s/files/1/1527/0993/files/SASHA-WIDE-LEG-JEANS-NAVY-WHITE-STRIPE-ANIPHA-202470641.jpg?v=1713261269&width=1380,199 USD,140 USD
CHELSEA VEST,ONE_COLOR,https://thefrankieshop.com/products/chelsea-vest-white?_pos=53&_fid=040ea74ca&_ss=c&variant=47643474329760,O14E3O12O18,"M",https://cdn.shopify.com/s/files/1/1527/0993/files/CHELSEA-VEST-WHITE-ENIOLA-36477.jpg?v=1717161972&width=1380,212 USD,128 USD
ALLISON LONG SKIRT,ONE_COLOR,https://thefrankieshop.com/products/allison-long-skirt-black?_pos=54&_fid=040ea74ca&_ss=c&variant=47033202311328,O14E3O12O18,"M",https://cdn.shopify.com/s/files/1/1527/0993/files/ALLISON-LONG-SKIRT-BLACK-LUNA-31198.jpg?v=1698054816&width=1380,125 USD,71 USD
